10:42:57.191 [main] INFO  com.southintel.zaokin.App - Starting App on LAPTOP-CFDIA80N with PID 2184 (D:\work\zjh_workspace\gateway\southintel-zaokin-app\target\classes started by lyf in D:\work\zjh_workspace\gateway)
10:59:23.257 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 7007 (http)
10:59:23.373 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-7007"]
10:59:23.393 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
10:59:23.394 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.16]
10:59:23.407 [main] INFO  o.a.c.core.AprLifecycleListener - The APR based Apache Tomcat Native library which allows optimal performance in production environments was not found on the java.library.path: [D:\Java\jdk1.8.0_201\bin;C:\Windows\Sun\Java\bin;C:\Windows\system32;C:\Windows;C:\Program Files (x86)\Common Files\Oracle\Java\javapath;C:\Program Files (x86)\Intel\iCLS Client\;C:\Program Files\Intel\iCLS Client\;C:\Windows\system32;C:\Windows;C:\Windows\System32\Wbem;C:\Windows\System32\WindowsPowerShell\v1.0\;C:\Program Files (x86)\Intel\Intel(R) Management Engine Components\DAL;C:\Program Files\Intel\Intel(R) Management Engine Components\DAL;C:\Program Files (x86)\Intel\Intel(R) Management Engine Components\IPT;C:\Program Files\Intel\Intel(R) Management Engine Components\IPT;C:\Windows\System32\OpenSSH\;C:\Program Files\Intel\WiFi\bin\;C:\Program Files\Common Files\Intel\WirelessCommon\;D:\Java\jdk1.8.0_201\bin;D:\Java\jdk1.8.0_201\jre\bin;D:\work\apache-maven-3.6.0\bin;D:\ruanjian\Git\cmd;C:\Program Files\MongoDB\Server\3.4\bin;D:\Python36;D:\Python27;D:\Python36\Scripts;D:\Python27\Scripts;D:\Python37\Scripts\;D:\Python37\;C:\Users\lyf\AppData\Local\Microsoft\WindowsApps;;D:\ruanjian\PyCharm 2019.1.2\bin;;.]
10:59:23.789 [main] INFO  o.a.c.c.C.[.[localhost].[/api] - Initializing Spring embedded WebApplicationContext
10:59:23.789 [main] INFO  o.s.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 3346 ms
10:59:24.901 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
10:59:25.901 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-7007"]
10:59:25.931 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 7007 (http) with context path '/api'
10:59:25.935 [main] INFO  com.southintel.zaokin.App - Started App in 6.984 seconds (JVM running for 9.179)
11:03:33.924 [http-nio-7007-exec-1] INFO  o.a.c.c.C.[.[localhost].[/api] - Initializing Spring DispatcherServlet 'dispatcherServlet'
11:03:33.924 [http-nio-7007-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
11:03:33.932 [http-nio-7007-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 8 ms
11:03:33.968 [http-nio-7007-exec-1] INFO  c.s.z.b.advice.PostDataDumperFilter - 地址/user/register,json={	"type": "",	"tel": "15870882689",	"name": "li李san",	"company": "南科 ",	"department": "开发部",	"position": "项目经理",	"avatar_url": "www.xxx.jpg",	"card_url": "xxxxxx.png",	"brief_introduction": "公司叫南科大数据，里面有40个人，有7个小姐姐，其余都是小哥哥。。。"}
11:04:53.623 [http-nio-7007-exec-3] INFO  c.s.z.b.advice.PostDataDumperFilter - 地址/user/register,json={	"type": "",	"tel": "15870882689",	"name": "li李san",	"company": "南科 ",	"department": "开发部",	"position": "项目经理",	"avatar_url": "www.xxx.jpg",	"card_url": "xxxxxx.png",	"brief_introduction": "公司叫南科大数据，里面有40个人，有7个小姐姐，其余都是小哥哥。。。"}
11:07:01.534 [http-nio-7007-exec-4] INFO  c.s.z.b.advice.PostDataDumperFilter - 地址/user/register,json={	"type": "",	"tel": "15870882689",	"name": "li李san",	"company": "南科 ",	"department": "开发部",	"position": "项目经理",	"avatar_url": "www.xxx.jpg",	"card_url": "xxxxxx.png",	"brief_introduction": "公司叫南科大数据，里面有40个人，有7个小姐姐，其余都是小哥哥。。。"}
11:07:10.329 [Thread-16] INFO  o.s.s.c.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
11:07:18.453 [main] INFO  com.southintel.zaokin.App - Starting App on LAPTOP-CFDIA80N with PID 6884 (D:\work\zjh_workspace\gateway\southintel-zaokin-app\target\classes started by lyf in D:\work\zjh_workspace\gateway)
11:07:18.458 [main] INFO  com.southintel.zaokin.App - The following profiles are active: test
11:07:19.542 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
11:07:19.543 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
11:07:19.580 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 27ms. Found 0 repository interfaces.
11:07:19.596 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
11:07:19.597 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
11:07:19.618 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 10ms. Found 0 repository interfaces.
11:07:19.625 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
11:07:19.625 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
11:07:19.641 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 7ms. Found 0 repository interfaces.
11:07:20.131 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$86ad0a6c] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
11:07:20.704 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 7007 (http)
11:07:20.722 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-7007"]
11:07:20.822 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
11:07:20.822 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.16]
11:07:20.833 [main] INFO  o.a.c.core.AprLifecycleListener - The APR based Apache Tomcat Native library which allows optimal performance in production environments was not found on the java.library.path: [D:\Java\jdk1.8.0_201\bin;C:\Windows\Sun\Java\bin;C:\Windows\system32;C:\Windows;C:\Program Files (x86)\Common Files\Oracle\Java\javapath;C:\Program Files (x86)\Intel\iCLS Client\;C:\Program Files\Intel\iCLS Client\;C:\Windows\system32;C:\Windows;C:\Windows\System32\Wbem;C:\Windows\System32\WindowsPowerShell\v1.0\;C:\Program Files (x86)\Intel\Intel(R) Management Engine Components\DAL;C:\Program Files\Intel\Intel(R) Management Engine Components\DAL;C:\Program Files (x86)\Intel\Intel(R) Management Engine Components\IPT;C:\Program Files\Intel\Intel(R) Management Engine Components\IPT;C:\Windows\System32\OpenSSH\;C:\Program Files\Intel\WiFi\bin\;C:\Program Files\Common Files\Intel\WirelessCommon\;D:\Java\jdk1.8.0_201\bin;D:\Java\jdk1.8.0_201\jre\bin;D:\work\apache-maven-3.6.0\bin;D:\ruanjian\Git\cmd;C:\Program Files\MongoDB\Server\3.4\bin;D:\Python36;D:\Python27;D:\Python36\Scripts;D:\Python27\Scripts;D:\Python37\Scripts\;D:\Python37\;C:\Users\lyf\AppData\Local\Microsoft\WindowsApps;;D:\ruanjian\PyCharm 2019.1.2\bin;;.]
11:07:21.109 [main] INFO  o.a.c.c.C.[.[localhost].[/api] - Initializing Spring embedded WebApplicationContext
11:07:21.109 [main] INFO  o.s.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 2493 ms
11:07:22.096 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
11:07:23.083 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-7007"]
11:07:23.113 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 7007 (http) with context path '/api'
11:07:23.117 [main] INFO  com.southintel.zaokin.App - Started App in 5.918 seconds (JVM running for 7.925)
11:28:47.933 [http-nio-7007-exec-1] INFO  o.a.c.c.C.[.[localhost].[/api] - Initializing Spring DispatcherServlet 'dispatcherServlet'
11:28:47.934 [http-nio-7007-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
11:28:47.944 [http-nio-7007-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 9 ms
11:28:47.971 [http-nio-7007-exec-1] INFO  c.s.z.b.advice.PostDataDumperFilter - 地址/user/register,json={	"type": "",	"tel": "15870882689",	"name": "li李san",	"company": "南科 ",	"department": "开发部",	"position": "项目经理",	"avatar_url": "www.xxx.jpg",	"card_url": "xxxxxx.png",	"brief_introduction": "公司叫南科大数据，里面有40个人，有7个小姐姐，其余都是小哥哥。。。"}
11:30:27.981 [Thread-15] INFO  o.s.s.c.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
11:30:35.173 [main] INFO  com.southintel.zaokin.App - Starting App on LAPTOP-CFDIA80N with PID 5052 (D:\work\zjh_workspace\gateway\southintel-zaokin-app\target\classes started by lyf in D:\work\zjh_workspace\gateway)
11:30:35.179 [main] INFO  com.southintel.zaokin.App - The following profiles are active: test
11:30:36.280 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
11:30:36.281 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
11:30:36.317 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 26ms. Found 0 repository interfaces.
11:30:36.333 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
11:30:36.335 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
11:30:36.353 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 7ms. Found 0 repository interfaces.
11:30:36.360 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
11:30:36.360 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
11:30:36.377 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 9ms. Found 0 repository interfaces.
11:30:36.859 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$920009b9] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
11:30:37.428 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 7007 (http)
11:30:37.455 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-7007"]
11:30:37.532 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
11:30:37.533 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.16]
11:30:37.544 [main] INFO  o.a.c.core.AprLifecycleListener - The APR based Apache Tomcat Native library which allows optimal performance in production environments was not found on the java.library.path: [D:\Java\jdk1.8.0_201\bin;C:\Windows\Sun\Java\bin;C:\Windows\system32;C:\Windows;C:\Program Files (x86)\Common Files\Oracle\Java\javapath;C:\Program Files (x86)\Intel\iCLS Client\;C:\Program Files\Intel\iCLS Client\;C:\Windows\system32;C:\Windows;C:\Windows\System32\Wbem;C:\Windows\System32\WindowsPowerShell\v1.0\;C:\Program Files (x86)\Intel\Intel(R) Management Engine Components\DAL;C:\Program Files\Intel\Intel(R) Management Engine Components\DAL;C:\Program Files (x86)\Intel\Intel(R) Management Engine Components\IPT;C:\Program Files\Intel\Intel(R) Management Engine Components\IPT;C:\Windows\System32\OpenSSH\;C:\Program Files\Intel\WiFi\bin\;C:\Program Files\Common Files\Intel\WirelessCommon\;D:\Java\jdk1.8.0_201\bin;D:\Java\jdk1.8.0_201\jre\bin;D:\work\apache-maven-3.6.0\bin;D:\ruanjian\Git\cmd;C:\Program Files\MongoDB\Server\3.4\bin;D:\Python36;D:\Python27;D:\Python36\Scripts;D:\Python27\Scripts;D:\Python37\Scripts\;D:\Python37\;C:\Users\lyf\AppData\Local\Microsoft\WindowsApps;;D:\ruanjian\PyCharm 2019.1.2\bin;;.]
11:30:37.831 [main] INFO  o.a.c.c.C.[.[localhost].[/api] - Initializing Spring embedded WebApplicationContext
11:30:37.831 [main] INFO  o.s.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 2477 ms
11:30:38.858 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
11:30:39.861 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-7007"]
11:30:39.892 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 7007 (http) with context path '/api'
11:30:39.896 [main] INFO  com.southintel.zaokin.App - Started App in 5.938 seconds (JVM running for 7.874)
11:30:42.772 [http-nio-7007-exec-1] INFO  o.a.c.c.C.[.[localhost].[/api] - Initializing Spring DispatcherServlet 'dispatcherServlet'
11:30:42.772 [http-nio-7007-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
11:30:42.784 [http-nio-7007-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 12 ms
11:30:42.818 [http-nio-7007-exec-1] INFO  c.s.z.b.advice.PostDataDumperFilter - 地址/user/register,json={	"type": "",	"tel": "15870882689",	"name": "li李san",	"company": "南科 ",	"department": "开发部",	"position": "项目经理",	"avatar_url": "www.xxx.jpg",	"card_url": "xxxxxx.png",	"brief_introduction": "公司叫南科大数据，里面有40个人，有7个小姐姐，其余都是小哥哥。。。"}
11:31:26.435 [http-nio-7007-exec-1] INFO  c.s.zaokin.base.util.HttpUtils - 开始转发请求,url:http://127.0.0.1:12708/api/user/register,data:{	"type": "",	"tel": "15870882689",	"name": "li李san",	"company": "南科 ",	"department": "开发部",	"position": "项目经理",	"avatar_url": "www.xxx.jpg",	"card_url": "xxxxxx.png",	"brief_introduction": "公司叫南科大数据，里面有40个人，有7个小姐姐，其余都是小哥哥。。。"}
11:33:04.175 [Thread-15] INFO  o.s.s.c.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
11:33:11.975 [main] INFO  com.southintel.zaokin.App - Starting App on LAPTOP-CFDIA80N with PID 10312 (D:\work\zjh_workspace\gateway\southintel-zaokin-app\target\classes started by lyf in D:\work\zjh_workspace\gateway)
11:33:11.981 [main] INFO  com.southintel.zaokin.App - The following profiles are active: test
11:33:13.128 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
11:33:13.129 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
11:33:13.166 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 26ms. Found 0 repository interfaces.
11:33:13.182 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
11:33:13.184 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
11:33:13.204 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 8ms. Found 0 repository interfaces.
11:33:13.211 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
11:33:13.213 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
11:33:13.228 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 7ms. Found 0 repository interfaces.
11:33:13.732 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$79c0b334] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
11:33:14.286 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 7007 (http)
11:33:14.304 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-7007"]
11:33:14.315 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
11:33:14.316 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.16]
11:33:14.407 [main] INFO  o.a.c.core.AprLifecycleListener - The APR based Apache Tomcat Native library which allows optimal performance in production environments was not found on the java.library.path: [D:\Java\jdk1.8.0_201\bin;C:\Windows\Sun\Java\bin;C:\Windows\system32;C:\Windows;C:\Program Files (x86)\Common Files\Oracle\Java\javapath;C:\Program Files (x86)\Intel\iCLS Client\;C:\Program Files\Intel\iCLS Client\;C:\Windows\system32;C:\Windows;C:\Windows\System32\Wbem;C:\Windows\System32\WindowsPowerShell\v1.0\;C:\Program Files (x86)\Intel\Intel(R) Management Engine Components\DAL;C:\Program Files\Intel\Intel(R) Management Engine Components\DAL;C:\Program Files (x86)\Intel\Intel(R) Management Engine Components\IPT;C:\Program Files\Intel\Intel(R) Management Engine Components\IPT;C:\Windows\System32\OpenSSH\;C:\Program Files\Intel\WiFi\bin\;C:\Program Files\Common Files\Intel\WirelessCommon\;D:\Java\jdk1.8.0_201\bin;D:\Java\jdk1.8.0_201\jre\bin;D:\work\apache-maven-3.6.0\bin;D:\ruanjian\Git\cmd;C:\Program Files\MongoDB\Server\3.4\bin;D:\Python36;D:\Python27;D:\Python36\Scripts;D:\Python27\Scripts;D:\Python37\Scripts\;D:\Python37\;C:\Users\lyf\AppData\Local\Microsoft\WindowsApps;;D:\ruanjian\PyCharm 2019.1.2\bin;;.]
11:33:14.691 [main] INFO  o.a.c.c.C.[.[localhost].[/api] - Initializing Spring embedded WebApplicationContext
11:33:14.691 [main] INFO  o.s.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 2557 ms
11:33:15.707 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
11:33:16.679 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-7007"]
11:33:16.707 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 7007 (http) with context path '/api'
11:33:16.711 [main] INFO  com.southintel.zaokin.App - Started App in 5.938 seconds (JVM running for 7.956)
11:33:51.057 [Thread-15] INFO  o.s.s.c.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
11:33:55.440 [main] INFO  com.southintel.zaokin.App - Starting App on LAPTOP-CFDIA80N with PID 14912 (D:\work\zjh_workspace\gateway\southintel-zaokin-app\target\classes started by lyf in D:\work\zjh_workspace\gateway)
11:33:55.446 [main] INFO  com.southintel.zaokin.App - The following profiles are active: test
11:33:56.643 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
11:33:56.643 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
11:33:56.683 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 29ms. Found 0 repository interfaces.
11:33:56.701 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
11:33:56.703 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
11:33:56.722 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 7ms. Found 0 repository interfaces.
11:33:56.731 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
11:33:56.731 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
11:33:56.749 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 9ms. Found 0 repository interfaces.
